,0
1121,0.0
1122,1.0
1123,-1.0
1124,-1.0
1125,2.0
1126,-1.0
1127,0.0
1128,14.0
1129,1.0
1130,-2.0
1131,6.0
1132,-2.0
1133,2.0
1134,0.0
1135,-1.0
1136,0.0
1137,2.0
1138,0.0
1139,1.0
1140,-1.0
1141,-1.0
1142,0.0
1143,0.0
1144,0.0
1145,6.0
1146,0.0
1147,9.0
1148,0.0
1149,12.0
1150,-1.0
1151,3.0
1152,0.0
1153,0.0
1154,1.0
1155,-21.0
1156,0.0
1157,1.0
1158,0.0
1159,-1.0
1160,1.0
1161,0.0
1162,0.0
1163,0.0
1164,2.0
1165,0.0
1166,0.0
1167,-1.0
1168,0.0
1169,-1.0
1170,6.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,-13.0
1176,-1.0
1177,-1.0
1178,-2.0
1179,0.0
1180,-13.0
1181,-1.0
1182,-1.0
1183,2.0
1184,-2.0
1185,7.0
1186,-5.0
1187,-1.0
1188,3.0
1189,0.0
1190,-1.0
1191,0.0
1192,0.0
1193,0.0
1194,1.0
1195,0.0
1196,1.0
1197,-1.0
1198,0.0
1199,0.0
1200,1.0
1201,0.0
1202,-1.0
1203,0.0
1204,1.0
1205,1.0
1206,-2.0
1207,1.0
1208,-1.0
1209,1.0
1210,1.0
1211,0.0
1212,-16.0
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,-1.0
1218,-4.0
1219,-4.0
1220,3.0
1221,-2.0
1222,-8.0
1223,0.0
1224,-1.0
1225,5.0
1226,-1.0
1227,-5.0
1228,-30.0
1229,0.0
1230,4.0
1231,0.0
1232,0.0
1233,-1.0
1234,-2.0
1235,0.0
1236,15.0
1237,1.0
1238,0.0
1239,1.0
1240,-1.0
1241,0.0
1242,-1.0
1243,-6.0
1244,0.0
1245,-10.0
1246,-2.0
1247,-1.0
1248,-1.0
1249,0.0
1250,2.0
1251,-1.0
1252,-1.0
1253,0.0
1254,-1.0
1255,0.0
1256,0.0
1257,6.0
1258,-13.0
1259,0.0
1260,-1.0
1261,-1.0
1262,0.0
1263,0.0
1264,0.0
1265,-5.0
1266,0.0
1267,0.0
1268,-4.0
1269,-1.0
1270,-2.0
1271,8.0
1272,-1.0
1273,0.0
1274,0.0
1275,-11.0
1276,0.0
1277,-15.0
1278,-1.0
1279,-5.0
1280,-1.0
1281,-1.0
1282,-15.0
1283,-1.0
1284,0.0
1285,-2.0
1286,3.0
1287,1.0
1288,-1.0
1289,-1.0
1290,0.0
1291,-1.0
1292,-2.0
1293,-8.0
1294,-1.0
1295,-6.0
1296,2.0
1297,2.0
1298,1.0
1299,-1.0
1300,0.0
1301,0.0
1302,-1.0
1303,0.0
1304,2.0
1305,-1.0
1306,0.0
1307,-1.0
1308,-1.0
1309,2.0
1310,-1.0
1311,3.0
1312,-1.0
1313,-7.0
1314,1.0
1315,-1.0
1316,0.0
1317,-2.0
1318,1.0
1319,1.0
1320,0.0
1321,0.0
1322,0.0
1323,-1.0
1324,-5.0
1325,0.0
1326,6.0
1327,-1.0
1328,-17.0
1329,-1.0
1330,0.0
1331,0.0
1332,-10.0
1333,-1.0
1334,3.0
1335,0.0
1336,0.0
1337,3.0
1338,-1.0
1339,0.0
1340,6.0
1341,0.0
1342,-2.0
1343,0.0
1344,1.0
1345,2.0
1346,3.0
1347,2.0
1348,1.0
1349,-6.0
1350,4.0
1351,-3.0
1352,2.0
1353,0.0
1354,0.0
1355,-1.0
1356,0.0
1357,-1.0
1358,-22.0
1359,-11.0
1360,0.0
1361,0.0
1362,-1.0
1363,0.0
1364,10.0
1365,-1.0
1366,0.0
1367,-1.0
1368,1.0
1369,1.0
1370,0.0
1371,12.0
1372,10.0
1373,2.0
1374,0.0
1375,8.0
1376,-6.0
1377,-5.0
1378,6.0
1379,-3.0
1380,-3.0
1381,1.0
1382,-1.0
1383,-1.0
1384,0.0
1385,4.0
1386,1.0
1387,-4.0
1388,14.0
1389,1.0
1390,0.0
1391,-1.0
1392,-4.0
1393,8.0
1394,1.0
1395,0.0
1396,-1.0
1397,0.0
1398,1.0
1399,0.0
1400,6.0
1401,0.0
1402,4.0
1403,-1.0
1404,-2.0
1405,0.0
1406,1.0
1407,-16.0
1408,2.0
1409,-1.0
1410,-1.0
1411,-1.0
1412,0.0
1413,0.0
1414,2.0
1415,-3.0
1416,-1.0
1417,-2.0
1418,10.0
1419,-1.0
1420,1.0
1421,1.0
1422,0.0
1423,9.0
1424,-13.0
1425,-1.0
1426,1.0
1427,-1.0
1428,2.0
1429,7.0
1430,-2.0
1431,-1.0
1432,0.0
1433,0.0
1434,0.0
1435,-1.0
1436,-1.0
1437,0.0
1438,-7.0
1439,2.0
1440,0.0
1441,0.0
1442,0.0
1443,-3.0
1444,3.0
1445,-2.0
1446,0.0
1447,-1.0
1448,0.0
1449,0.0
1450,-2.0
1451,-2.0
1452,-1.0
1453,0.0
1454,-1.0
1455,-1.0
1456,-1.0
1457,-1.0
1458,2.0
1459,0.0
1460,0.0
1461,3.0
1462,9.0
1463,-3.0
1464,-1.0
1465,5.0
1466,-2.0
1467,1.0
1468,0.0
1469,0.0
1470,0.0
1471,-7.0
1472,-2.0
1473,0.0
1474,0.0
1475,-2.0
1476,-1.0
1477,-1.0
1478,0.0
1479,-14.0
1480,-4.0
1481,2.0
1482,-4.0
1483,-1.0
1484,1.0
1485,5.0
1486,0.0
1487,0.0
1488,2.0
1489,0.0
1490,2.0
1491,-3.0
1492,-2.0
1493,0.0
1494,-1.0
1495,-12.0
1496,-1.0
1497,-1.0
1498,1.0
1499,-1.0
1500,-10.0
1501,0.0
1502,0.0
1503,0.0
1504,-16.0
1505,-1.0
1506,-5.0
1507,0.0
1508,0.0
1509,1.0
1510,0.0
1511,-4.0
1512,-2.0
1513,-1.0
1514,0.0
1515,0.0
1516,0.0
1517,-1.0
1518,2.0
1519,1.0
1520,-1.0
1521,0.0
1522,7.0
1523,4.0
1524,-6.0
1525,1.0
1526,-1.0
1527,0.0
1528,0.0
1529,-1.0
1530,2.0
1531,0.0
1532,-13.0
1533,1.0
1534,1.0
1535,0.0
1536,4.0
1537,-2.0
1538,0.0
1539,5.0
1540,-1.0
1541,-1.0
1542,0.0
1543,-1.0
1544,-1.0
1545,0.0
1546,-10.0
1547,5.0
1548,1.0
1549,0.0
1550,12.0
1551,-3.0
1552,2.0
1553,0.0
1554,6.0
1555,-3.0
1556,8.0
1557,0.0
1558,-19.0
1559,0.0
1560,1.0
1561,-1.0
1562,0.0
1563,0.0
1564,1.0
1565,-5.0
1566,-1.0
1567,14.0
1568,-1.0
1569,-3.0
1570,-1.0
1571,-2.0
1572,0.0
1573,-1.0
1574,0.0
1575,12.0
1576,-4.0
1577,0.0
1578,0.0
1579,0.0
1580,-4.0
1581,-1.0
1582,0.0
1583,3.0
1584,6.0
1585,0.0
1586,-7.0
1587,0.0
1588,-15.0
1589,0.0
1590,3.0
1591,4.0
1592,14.0
1593,1.0
1594,-5.0
1595,1.0
1596,-1.0
1597,1.0
1598,0.0
1599,-25.0
1600,-18.0
1601,0.0
1602,-2.0
1603,0.0
1604,0.0
1605,0.0
1606,-21.0
1607,-3.0
1608,0.0
1609,2.0
1610,-1.0
1611,-1.0
1612,0.0
1613,0.0
1614,1.0
1615,0.0
1616,0.0
1617,1.0
1618,3.0
1619,10.0
1620,0.0
1621,2.0
1622,-2.0
1623,0.0
1624,0.0
1625,-2.0
1626,0.0
1627,-1.0
1628,-4.0
1629,1.0
1630,7.0
1631,0.0
1632,8.0
1633,-1.0
1634,0.0
1635,-1.0
1636,-1.0
1637,0.0
1638,4.0
1639,0.0
1640,11.0
1641,0.0
1642,-9.0
1643,-1.0
1644,-1.0
1645,3.0
1646,1.0
1647,-1.0
1648,0.0
1649,-2.0
1650,0.0
1651,0.0
1652,-10.0
1653,0.0
1654,8.0
1655,0.0
1656,-17.0
1657,-2.0
1658,0.0
1659,-2.0
1660,-9.0
1661,0.0
1662,0.0
1663,-19.0
1664,-1.0
1665,1.0
1666,-2.0
1667,0.0
1668,1.0
1669,0.0
1670,0.0
1671,0.0
1672,-1.0
1673,8.0
1674,-1.0
1675,3.0
1676,0.0
1677,-1.0
1678,-4.0
1679,1.0
1680,8.0
1681,0.0
1682,-4.0
1683,-6.0
1684,-2.0
1685,-1.0
1686,2.0
1687,2.0
1688,-1.0
1689,6.0
1690,2.0
1691,-1.0
1692,0.0
1693,-4.0
1694,1.0
1695,10.0
1696,-2.0
1697,-6.0
1698,0.0
1699,0.0
1700,0.0
1701,1.0
1702,1.0
1703,2.0
1704,0.0
1705,-3.0
1706,-2.0
1707,0.0
1708,9.0
1709,3.0
1710,-2.0
1711,0.0
1712,-1.0
1713,-1.0
1714,0.0
1715,0.0
1716,-4.0
1717,-3.0
1718,-7.0
1719,1.0
1720,0.0
1721,-1.0
1722,-1.0
1723,0.0
1724,-4.0
1725,-4.0
1726,0.0
1727,1.0
1728,0.0
1729,1.0
1730,2.0
1731,-1.0
1732,-14.0
1733,-3.0
1734,-1.0
1735,-1.0
1736,0.0
1737,-1.0
1738,-1.0
1739,2.0
1740,0.0
1741,-2.0
1742,2.0
1743,1.0
